Title,Price,Area,Location,type
"Cho thuê nhà đẹp mặt phố MINH KHAI, DT 70m2x7 tầng, MT 10m, Giá 115tr",Giá: 115 triệu / tháng,"Diện tích: 70 m
2","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố HÒA MÃ, DT 60m2x4 tầng, MT 6m, Giá 80tr",Giá: 80 triệu / tháng,"Diện tích: 60 m
2","Phố Hòa Mã, Phường Ngô Thì Nhậm, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố PHỐ HUẾ, DT 32m2+lửng 10m, MT 4.5m, Giá 25tr",Giá: 25 triệu / tháng,"Diện tích: 42 m
2","Phố Huế, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà căn góc mặt phố NGUYỄN DU, QUANG TRUNG, DT đất 420m2, xây 250m2x2 tầng,MT 30m",Giá: 365 triệu / tháng,"Diện tích: 420 m
2","Đường Nguyễn Du, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố TRIỆU VIỆT VƯƠNG, DT 240m2x3 tầng+1 lửng (180m2), MT 11m, Giá 10000$",Giá: 240 triệu / tháng,"Diện tích: 240 m
2","Phố Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố TÔ HIẾN THÀNH, DT 235m2x8 tầng+2 hầm, MT 9.3m, Giá 650tr",Giá: 650 triệu / tháng,"Diện tích: 235 m
2","Phố Tô Hiến Thành, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố TÔN ĐỨC THẮNG, DT 180m2x8 tầng+hầm, MT 7m, Giá 200tr",Giá: 200 triệu / tháng,"Diện tích: 180 m
2","Phố Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố AN TRẠCH, DT 68m2x8 tầng, MT 4.5m, Giá 60tr",Giá: 60 triệu / tháng,"Diện tích: 68 m
2","Phố An Trạch, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố MINH KHAI, DT 60m2x4 tầng+hầm, MT 5m, Giá 100tr",Giá: 100 triệu / tháng,"Diện tích: 60 m
2","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
"Cho thuê nhà mặt phố BÀ TRIỆU, DT 60m2, MT 5m, Giá 40tr",Giá: 40 triệu / tháng,"Diện tích: 60 m
2","Phố Bà Triệu, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",cho_thue_cua_hang
