City,District,Ward,Street,address,area_value,price_value_trieu,price_per_m2_final
Hà Nội,Quận Đống Đa,Phường Kim Liên,Phố Lương Định Của,"Phố Lương Định Của, Phường Kim Liên, Quận Đống Đa, Hà Nội",80.0,13.0,162500.0
Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Đường Võ Chí Công,"Đường Võ Chí Công, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội",850.0,250.00000000000003,294117.64705882355
Bà Rịa-Vũng Tàu,Thị Xã Phú Mỹ,Phường Phú Mỹ,Đường Ngô Gia Tự,"Đường Ngô Gia Tự, Phường Phú Mỹ, Thị Xã Phú Mỹ, Bà Rịa Vũng Tàu",198.0,9.0,45454.545454545456
Bình Định,Quy Nhơn,Phường Nguyễn Văn Cừ,Đường Võ Thị Yến,"Đường Võ Thị Yến, Phường Nguyễn Văn Cừ, Thành phố Quy Nhơn, Bình Định",125.0,25.0,200000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng,Đường Nguyễn Phong Sắc,"Đường Nguyễn Phong Sắc, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",500.0,250.0,500000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Phố Trần Thái Tông,"Phố Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",500.0,300.0,600000.0
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Lê Văn Lương,"Đường Lê Văn Lương, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",500.0,100.0,200000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,,"Đường Thành Thái, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",500.0,100.0,200000.0
Hà Nội,Quận Cầu Giấy,Phường Trung Hòa,Đường Hoàng Đạo Thúy,"Đường Hoàng Đạo Thúy, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",400.0,200.0,500000.0
Hà Nội,Quận Tây Hồ,Phường Phú Thượng,Đường Võ Chí Công,"Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",500.0,150.0,300000.0
Hà Nội,Quận Cầu Giấy,,Đường Cầu Giấy,"Đường Cầu Giấy, Quận Cầu Giấy, Hà Nội",2.0,200.0,100000000.0
Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,524/21 Phố Bạch Đằng,"Phố Bạch Đằng, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",10.0,100.0,10000000.0
Hà Nội,Quận Hai Bà Trưng,Phường Bạch Đằng,Đường Trần Khánh Dư,"Đường Trần Khánh Dư, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",5.0,100.0,20000000.0
Hà Nội,Quận Đống Đa,Phường Kim Liên,Phố Phạm Ngọc Thạch,"Phố Phạm Ngọc Thạch, Phường Kim Liên, Quận Đống Đa, Hà Nội",1.0,300.0,300000000.0
Hà Nội,Quận Ba Đình,Phường Giảng Võ,Đường Giảng Võ,"Đường Giảng Võ, Phường Giảng Võ, Quận Ba Đình, Hà Nội",1.0,300.0,300000000.0
Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Phố Dương Đình Nghệ,"Phố Dương Đình Nghệ, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1.0,300.0,300000000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,,"Đường Thành Thái, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1.0,200.0,200000000.0
Bình Dương,Thuận An,Phường Thuận Giao,Đại Lộ Bình Dương,"Đường D1, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",200.0,20.0,100000.0
Bình Dương,Thuận An,Phường Thuận Giao,Đại Lộ Bình Dương,"Đường D1, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",200.0,20.0,100000.0
Hà Nội,Quận Hoàn Kiếm,Phường Hàng Bạc,Phố Đinh Tiên Hoàng,"Phố Đinh Tiên Hoàng, Phường Hàng Gai, Quận Hoàn Kiếm, Hà Nội",200.0,250.0,1250000.0
Hà Nội,Quận Đống Đa,Phường Láng Thượng,Đường Láng,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",1.0,200.0,200000000.0
Hà Nội,Quận Hà Đông,Phường La Khê,Đường Tố Hữu,"Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội",500.0,150.0,300000.0
Hà Nội,Quận Thanh Xuân,Phường Thượng Đình,Đường Nguyễn Trãi,"Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",500.0,150.0,300000.0
Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",1.0,200.0,200000000.0
Hà Nội,Quận Cầu Giấy,Phường Mai Dịch,Đường Phạm Văn Đồng,"Đường Phạm Văn Đồng, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",200.0,100.0,500000.0
Hà Nội,Quận Cầu Giấy,Phường Dịch Vọng Hậu,Đường Tôn Thất Thuyết,"Đường Tôn Thất Thuyết, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",1.0,200.0,200000000.0
