Title,Price,Area,Location,type
"Cho thuê nhà mặt đường Trần Quang Khải, DT 100m2, MT 7m, 7 tầng thang máy, có PCCC",Giá: 75 triệu / tháng,"Diện tích: 100 m
2","Đường Trần Quang Khải, Phường Minh Khai, Quận Hồng Bàng, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà mặt đường Trung Lực vỉa hè cực rộng, DT 100m2, MT 5m, nhà 2 tầng, giá 16tr",Giá: 16 triệu / tháng,"Diện tích: 100 m
2","Đường Trung Lực, Phường Đằng Lâm, Quận Hải An, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà mặt đường Lạch Tray đoạn đầu, DT 183m2, MT 10m, 1 tầng thông sàn, giá 160tr",Giá: 160 triệu / tháng,"Diện tích: 183 m
2","Đường Lạch Tray, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà mặt đường Quán Nam đoạn đẹp, ngang 4m, dt 85m2 x 4 tầng, giá 21tr",Giá: 21 triệu / tháng,"Diện tích: 85 m
2","Đường Quán Nam, Phường Kênh Dương, Quận Lê Chân, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà lô góc hai mặt tiền đường Trần Phú, mặt tiền 20m, DTMB 450m2 thông sàn",Giá: 310 ngàn / m2  / tháng,"Diện tích: 588 m
2","Đường Trần Phú, Phường Lương Khánh Thiện, Quận Ngô Quyền, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà mặt đường Lạch Tray đoạn đẹp, dt 80m2 x 5 tầng, thang máy, vỉa hè 10m",Giá: 35 triệu / tháng,"Diện tích: 80 m
2","Đường Lạch Tray, Phường Lạch Tray, Quận Ngô Quyền, Hải Phòng",cho_thue_cua_hang
"Cho thuê mặt bằng tầng 1 toà TTTM mặt đường Lương Khánh Thiện, dtsd 700m2, có cho thuê lẻ",Giá: 450 ngàn / m2  / tháng,"Diện tích: 700 m
2","Đường Lương Khánh Thiện, Phường Lương Khánh Thiện, Quận Ngô Quyền, Hải Phòng",cho_thue_cua_hang
Cho thuê mặt bằng kinh doanh chân đế chung cư Hoàng Huy Commerce mặt đường Võ Nguyên Giáp,Giá: 40 triệu / tháng,"Diện tích: 84 m
2","Đường Đại lộ Võ Nguyên Giáp, Phường Kênh Dương, Quận Lê Chân, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà mặt đường Trần Phú đối diện dải vườn hoa trung tâm, DTSD 350m2 thông sàn",Giá: 65 triệu / tháng,"Diện tích: 350 m
2","Đường Trần Phú, Phường Lương Khánh Thiện, Quận Ngô Quyền, Hải Phòng",cho_thue_cua_hang
"Cho thuê nhà mặt đường gần nhà hát lớn, lô góc hai mặt tiền 18m, DTSD 190m2, giá 75tr",Giá: 75 triệu / tháng,"Diện tích: 190 m
2","Quận Lê Chân, Hải Phòng",cho_thue_cua_hang
