City,District,Ward,area_value,price_value_trieu,price_per_m2_final
Hải Phòng,Ngô Quyền,Đằng Giang,50.0,20.0,400000.0
Hải Phòng,An Dương,An Đồng,120.0,35.0,291666.6666666667
Hải Phòng,Hồng Bàng,Hạ Lý,102.0,50.0,490196.0784313725
Hải Phòng,Hồng Bàng,Hạ Lý,50.0,10.0,200000.0
Hải Phòng,Hồng Bàng,Hoàng Văn Thụ,145.0,18.0,124137.93103448275
Hải Phòng,Ngô Quyền,Máy Tơ,60.0,25.0,416666.6666666667
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,50.0,15.0,300000.0
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,100.0,12.0,120000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,100.0,20.0,200000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,105.0,12.0,114285.71428571428
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,120.0,22.0,183333.3333333333
Đà Nẵng,Hải Châu,Hòa Thuận Đông,45.0,7.0,155555.55555555556
Đà Nẵng,Cẩm Lệ,Khuê Trung,81.0,11.5,141975.3086419753
Đà Nẵng,Hải Châu,Hòa Cường Bắc,250.0,80.0,320000.0
Đà Nẵng,Hải Châu,Thuận Phước,80.0,15.0,187500.0
Đà Nẵng,Hải Châu,Nam Dương,100.0,65.0,650000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,220.0,20.0,90909.09090909093
Hồ Chí Minh,Tân Phú,Phú Thạnh,300.0,80.0,266666.6666666667
Hồ Chí Minh,Tân Phú,Tân Thành,800.0,120.0,150000.0
Hồ Chí Minh,Tân Phú,Tân Thành,400.0,40.0,100000.0
Hồ Chí Minh,Tân Bình,Phường 14,105.0,45.0,428571.4285714286
Hồ Chí Minh,Tân Phú,Tân Quý,520.0,75.0,144230.76923076922
Khánh Hòa,Nha Trang,Tân Lập,220.0,59.99999999999999,272727.2727272727
Hà Nội,Hai Bà Trưng,Nguyễn Du,60.0,99.0,1650000.0
Hồ Chí Minh,Tân Phú,Sơn Kỳ,600.0,110.0,183333.3333333333
Hồ Chí Minh,Tân Bình,Phường 14,260.0,35.0,134615.38461538462
Hồ Chí Minh,Tân Phú,Tân Quý,220.0,17.0,77272.72727272728
Hồ Chí Minh,Tân Phú,Tân Thành,1.567,200.0,127632418.63433312
Hồ Chí Minh,Tân Phú,Hòa Thạnh,300.0,180.0,600000.0
Đà Nẵng,Hải Châu,Thuận Phước,125.0,30.0,240000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,250.0,45.0,180000.0
Đồng Nai,Biên Hòa,Thống Nhất,160.0,80.0,500000.0
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,600.0,150.0,250000.0
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,1.5,380.0,253333333.3333333
Hà Nội,Hai Bà Trưng,Nguyễn Du,95.0,59.99999999999999,631578.947368421
Hà Nội,Hoàn Kiếm,Lý Thái Tổ,65.0,60.0,923076.9230769232
Hà Nội,Đống Đa,Láng Hạ,55.0,35.0,636363.6363636364
Hà Nội,Ba Đình,Ngọc Khánh,500.0,80.0,160000.0
Hà Nội,Ba Đình,Giảng Võ,450.0,290.0,644444.4444444445
Hà Nội,Hoàn Kiếm,Hàng Bạc,50.0,60.0,1200000.0
Hà Nội,Cầu Giấy,Quan Hoa,110.0,70.0,636363.6363636364
Hà Nội,Nam Từ Liêm,Phường Mỹ Đình 2,80.0,120.0,1500000.0
Hà Nội,Cầu Giấy,Yên Hòa,200.0,80.0,400000.0
Hà Nội,Hai Bà Trưng,Lê Đại Hành,150.0,400.0,2666666.6666666665
Hà Nội,Ba Đình,Điện Biên,60.0,60.0,1000000.0
Hà Nội,Long Biên,Bồ Đề,200.0,150.0,750000.0
Hà Nội,Thanh Xuân,Thanh Xuân Trung,800.0,50.0,62500.0
Hà Nội,Đống Đa,Văn Miếu,400.0,70.0,175000.0
Hà Nội,Hai Bà Trưng,Trương Định,60.0,25.0,416666.6666666667
Hà Nội,Thanh Xuân,Thanh Xuân Trung,80.0,45.0,562500.0
Hà Nội,Hoàng Mai,Định Công,180.0,60.0,333333.3333333333
Hà Nội,Thanh Xuân,Khương Trung,90.0,49.99999999999999,555555.5555555555
Hà Nội,Cầu Giấy,Nghĩa Tân,70.0,40.0,571428.5714285715
Hà Nội,Cầu Giấy,Trung Hòa,80.0,70.0,875000.0
Hà Nội,Hà Đông,Hà Cầu,90.0,130.0,1444444.4444444445
Hà Nội,Thanh Xuân,Nhân Chính,800.0,120.0,150000.0
Hà Nội,Đống Đa,Văn Miếu,140.0,80.0,571428.5714285715
Hà Nội,Thanh Trì,Tứ Hiệp,145.0,14.5,100000.0
Hà Nội,Thanh Trì,Ngũ Hiệp,85.0,17.5,205882.35294117648
Hà Nội,Thanh Trì,Thanh Liệt,120.0,64.99999999999999,541666.6666666666
Hà Nội,Hoàng Mai,Đại Kim,55.0,14.999999999999998,272727.2727272727
Hà Nội,Hoàng Mai,Đại Kim,55.0,15.800000000000002,287272.7272727273
Hà Nội,Hoàng Mai,Giáp Bát,85.0,8.0,94117.64705882352
Hà Nội,Thanh Trì,Tứ Hiệp,150.0,13.0,86666.66666666667
Hà Nội,Thanh Trì,Tứ Hiệp,130.0,14.0,107692.30769230767
Hà Nội,Thanh Trì,Tứ Hiệp,85.0,14.0,164705.88235294115
Hà Nội,Thanh Trì,Tứ Hiệp,95.0,18.0,189473.68421052632
Đà Nẵng,Hải Châu,Phường Hải Châu 1,165.0,21.0,127272.72727272728
Hà Nội,Nam Từ Liêm,Đại Mỗ,600.0,120.0,200000.0
Đà Nẵng,Hải Châu,Phước Ninh,110.0,35.0,318181.8181818182
Hà Nội,Hoàn Kiếm,Hàng Gai,50.0,15.0,300000.0
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,2.0,185.0,92500000.0
Hồ Chí Minh,Hóc Môn,Xuân Thới Sơn,360.0,25.0,69444.44444444444
Hà Nội,Cầu Giấy,Dịch Vọng,30.0,3.6,120000.0
Hà Nội,Cầu Giấy,Nghĩa Đô,40.0,28.0,700000.0
Thừa Thiên Huế,Huế,An Cựu,100.0,15.0,150000.0
Thừa Thiên Huế,Huế,Vĩ Dạ,400.0,10.0,25000.0
Thừa Thiên Huế,Huế,Vĩ Dạ,1.0,30.0,30000000.0
Thừa Thiên Huế,Huế,Phú Hội,1.0,85.0,85000000.0
Thừa Thiên Huế,Huế,Vĩ Dạ,200.0,15.0,75000.0
Thừa Thiên Huế,Huế,Vĩnh Ninh,150.0,9.0,60000.0
Thừa Thiên Huế,Huế,Vĩ Dạ,156.0,25.0,160256.41025641025
Thừa Thiên Huế,Huế,Thuận Lộc,150.0,17.0,113333.33333333331
Thừa Thiên Huế,Huế,Vĩ Dạ,400.0,12.0,30000.0
Thừa Thiên Huế,Huế,Vĩnh Ninh,110.0,20.0,181818.18181818185
Thừa Thiên Huế,Huế,Phú Hội,260.0,30.0,115384.6153846154
Thừa Thiên Huế,Huế,An Đông,100.0,18.0,180000.0
Thừa Thiên Huế,Huế,Trường An,150.0,12.0,80000.0
Thừa Thiên Huế,Huế,Đúc,136.0,6.5,47794.117647058825
Thừa Thiên Huế,Huế,Phú Hội,225.0,30.000000000000004,133333.33333333334
Thừa Thiên Huế,Huế,An Đông,100.0,9.0,90000.0
Thừa Thiên Huế,Huế,Trường An,35.0,5.0,142857.14285714287
Thừa Thiên Huế,Huế,Phú Hội,500.0,25.0,50000.0
Thừa Thiên Huế,Huế,Phú Hội,220.0,30.0,136363.63636363635
Thừa Thiên Huế,Huế,Đúc,170.0,12.0,70588.23529411765
Thừa Thiên Huế,Huế,An Đông,50.0,4.5,90000.0
Thừa Thiên Huế,Huế,Phú Hội,1.2,180.0,150000000.0
Thừa Thiên Huế,Huế,Thủy Xuân,500.0,10.0,20000.0
Hà Nội,Hoàn Kiếm,Hàng Bồ,125.0,37.0,296000.0
Hà Nội,Hoàn Kiếm,Hàng Bồ,130.0,35.0,269230.76923076925
Đà Nẵng,Sơn Trà,An Hải Tây,60.0,15.0,250000.0
Đà Nẵng,Hải Châu,Thanh Bình,80.0,15.0,187500.0
Đà Nẵng,Ngũ Hành Sơn,Khuê Mỹ,130.0,20.0,153846.15384615384
Đà Nẵng,Sơn Trà,An Hải Bắc,100.0,10.5,105000.0
Đà Nẵng,Sơn Trà,Phước Mỹ,80.0,35.0,437500.0
Đà Nẵng,Sơn Trà,Thọ Quang,90.0,8.5,94444.44444444444
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,336.0,35.0,104166.66666666669
Đà Nẵng,Ngũ Hành Sơn,Mỹ An,100.0,14.0,140000.0
Hồ Chí Minh,Bình Tân,Bình Trị Đông B,80.0,15.0,187500.0
Hà Nội,Hai Bà Trưng,Thanh Nhàn,40.0,17.0,425000.0
Hà Nội,Hoàng Mai,Giáp Bát,40.0,17.0,425000.0
Hà Nội,Hoàng Mai,Giáp Bát,45.0,20.0,444444.4444444445
Hà Nội,Hoàng Mai,Hoàng Văn Thụ,60.0,25.0,416666.6666666667
Hà Nội,Long Biên,Phúc Lợi,80.0,6.5,81250.0
Hồ Chí Minh,Quận 7,Phú Thuận,85.0,25.000000000000004,294117.64705882355
Hồ Chí Minh,Quận 7,Phú Mỹ,450.0,40.0,88888.88888888889
Hồ Chí Minh,Gò Vấp,Phường 1,383.0,38.0,99216.71018276762
Hồ Chí Minh,Quận 7,Tân Thuận Đông,125.0,30.0,240000.0
Hà Nội,Nam Từ Liêm,Trung Văn,130.0,55.0,423076.9230769231
Hà Nội,Cầu Giấy,Nghĩa Đô,180.0,130.0,722222.2222222222
Hà Nội,Nam Từ Liêm,Phương Canh,100.0,25.0,250000.0
Hà Nội,Cầu Giấy,Trung Hòa,150.0,150.0,1000000.0
Hà Nội,Nam Từ Liêm,Trung Văn,95.0,31.0,326315.7894736842
Hà Nội,Hà Đông,Vạn Phúc,100.0,43.0,430000.0
Hà Nội,Ba Đình,Ngọc Khánh,100.0,26.0,260000.0
Hà Nội,Ba Đình,Đội Cấn,100.0,28.0,280000.0
Hà Nội,Đống Đa,Ô Chợ Dừa,130.0,40.0,307692.3076923077
Hà Nội,Đống Đa,Quốc Tử Giám,75.0,24.0,320000.0
Hà Nội,Đống Đa,Ô Chợ Dừa,70.0,40.0,571428.5714285715
Bà Rịa Vũng Tàu,Vũng Tàu,Phường 7,123.0,30.0,243902.43902439025
Hải Phòng,Hải An,Phường Đông Hải 1,96.0,10.0,104166.66666666669
Hải Phòng,Hải An,Phường Đông Hải 1,80.0,15.0,187500.0
Hải Phòng,Hải An,Phường Đông Hải 2,50.0,10.0,200000.0
Hải Phòng,Ngô Quyền,Đông Khê,40.0,15.0,375000.0
Hải Phòng,Hải An,Phường Đông Hải 2,45.0,15.0,333333.3333333333
Hải Phòng,Lê Chân,Kênh Dương,60.0,13.5,225000.0
Hải Phòng,Hải An,Đằng Hải,70.0,10.0,142857.14285714287
Hải Phòng,Hải An,Phường Đông Hải 2,70.0,10.0,142857.14285714287
Hải Phòng,Hải An,Đằng Lâm,90.0,13.5,150000.0
Hải Phòng,Hải An,Đằng Hải,60.0,10.0,166666.66666666666
Hải Phòng,Ngô Quyền,Đông Khê,60.0,11.0,183333.3333333333
Hải Phòng,Lê Chân,Kênh Dương,90.0,15.0,166666.66666666666
Hải Phòng,Hải An,Đằng Hải,70.0,15.0,214285.7142857143
Hà Nội,Thanh Xuân,Thanh Xuân Trung,1.6,350.0,218750000.0
Hải Phòng,Ngô Quyền,Máy Tơ,588.0,310.0,527210.8843537415
Hải Phòng,Ngô Quyền,Lạch Tray,80.0,35.0,437500.0
Hải Phòng,Ngô Quyền,Cầu Đất,700.0,450.0,642857.1428571428
Hải Phòng,Lê Chân,Kênh Dương,84.0,40.0,476190.4761904762
Hải Phòng,Ngô Quyền,Máy Tơ,350.0,65.0,185714.2857142857
Hải Phòng,Ngô Quyền,Cầu Tre,120.0,60.0,500000.0
Hải Phòng,Ngô Quyền,Đông Khê,1.2,330.0,275000000.0
Hải Phòng,Lê Chân,Dư Hàng Kênh,85.0,75.0,882352.9411764706
Hải Phòng,Lê Chân,An Biên,160.0,50.0,312500.0
Hải Phòng,Lê Chân,Kênh Dương,160.0,18.0,112500.0
Hải Phòng,Hải An,Đằng Lâm,1.5,120.0,80000000.0
Hải Phòng,Ngô Quyền,Đông Khê,400.0,185.0,462500.0
Hải Phòng,Hồng Bàng,Hạ Lý,130.0,50.0,384615.3846153846
Hải Phòng,Lê Chân,Dư Hàng Kênh,300.0,170.0,566666.6666666666
Hải Phòng,Lê Chân,Kênh Dương,400.0,50.0,125000.0
Hải Phòng,Kiến An,Quán Trữ,290.0,40.0,137931.0344827586
Hải Phòng,Lê Chân,Vĩnh Niệm,450.0,200.0,444444.4444444445
Hải Phòng,Ngô Quyền,Lạch Tray,310.0,150.0,483870.96774193546
Hải Phòng,Thủy Nguyên,Thủy Sơn,540.0,200.0,370370.3703703704
Hải Phòng,Hải An,Phường Đông Hải 1,200.0,30.0,150000.0
Hải Phòng,Lê Chân,Vĩnh Niệm,100.0,60.0,600000.0
Hải Phòng,Ngô Quyền,Đông Khê,600.0,230.0,383333.3333333333
Hải Phòng,Lê Chân,Dư Hàng Kênh,88.0,55.0,625000.0
Hải Phòng,Ngô Quyền,Cầu Tre,75.0,30.0,400000.0
Hải Phòng,Ngô Quyền,Đằng Giang,175.0,35.0,200000.0
Hải Phòng,Hải An,Phường Đông Hải 1,110.0,18.0,163636.36363636365
Hải Phòng,Ngô Quyền,Đông Khê,60.0,15.0,250000.0
Hải Phòng,Hồng Bàng,Phan Bội Châu,74.0,20.0,270270.2702702703
Hải Phòng,Ngô Quyền,Máy Tơ,6.0,27.0,4500000.0
Hải Phòng,Lê Chân,Vĩnh Niệm,200.0,50.0,250000.0
Hải Phòng,Ngô Quyền,Lạch Tray,130.0,135.0,1038461.5384615384
Hải Phòng,Lê Chân,Kênh Dương,150.0,60.0,400000.0
Hải Phòng,Lê Chân,Dư Hàng Kênh,360.0,60.0,166666.66666666666
Hải Phòng,Lê Chân,Nghĩa Xá,150.0,25.0,166666.66666666666
Hải Phòng,Ngô Quyền,Cầu Đất,160.0,80.0,500000.0
Hải Phòng,Lê Chân,Dư Hàng Kênh,400.0,50.0,125000.0
Hà Nội,Đống Đa,Cát Linh,190.0,500.0,2631578.947368421
Hà Nội,Nam Từ Liêm,Cầu Diễn,200.0,17.0,85000.0
Hà Nội,Hà Đông,Hà Cầu,220.0,420.0,1909090.9090909087
Hà Nội,Cầu Giấy,Trung Hòa,40.0,16.0,400000.0
Hà Nội,Hoàng Mai,Thịnh Liệt,60.0,15.0,250000.0
Hà Nội,Cầu Giấy,Yên Hòa,70.0,30.0,428571.4285714286
Hà Nội,Cầu Giấy,Dịch Vọng,45.0,20.0,444444.4444444445
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,96.0,20.0,208333.3333333333
Hà Nội,Cầu Giấy,Dịch Vọng Hậu,80.0,22.0,275000.0
Cần Thơ,Cái Răng,Hưng Phú,1.2,40.0,33333333.333333336
Cần Thơ,Cái Răng,Hưng Phú,66.0,15.0,227272.7272727273
Cần Thơ,Ninh Kiều,Xuân Khánh,192.0,25.0,130208.33333333331
Cần Thơ,Ninh Kiều,An Khánh,100.0,15.0,150000.0
Cần Thơ,Ninh Kiều,Xuân Khánh,100.0,10.0,100000.0
Cần Thơ,Ninh Kiều,An Khánh,105.0,17.0,161904.7619047619
Cần Thơ,Ninh Kiều,An Khánh,135.0,25.0,185185.1851851852
Cần Thơ,Ninh Kiều,An Bình,64.0,10.0,156250.0
Cần Thơ,Bình Thủy,An Thới,192.0,14.0,72916.66666666667
Cần Thơ,Ninh Kiều,Hưng Lợi,64.0,8.0,125000.0
Cần Thơ,Ninh Kiều,An Khánh,81.0,17.0,209876.5432098765
Cần Thơ,Ninh Kiều,Hưng Lợi,140.0,14.0,100000.0
Cần Thơ,Ninh Kiều,Xuân Khánh,80.0,12.0,150000.0
Cần Thơ,Cái Răng,Hưng Phú,60.0,11.0,183333.3333333333
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,115.0,15.0,130434.78260869563
Vĩnh Phúc,Vĩnh Yên,Khai Quang,100.0,14.0,140000.0
Vĩnh Phúc,Vĩnh Yên,Khai Quang,160.0,25.0,156250.0
Vĩnh Phúc,Vĩnh Yên,Khai Quang,70.0,14.0,200000.0
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,115.0,13.0,113043.47826086955
Vĩnh Phúc,Vĩnh Yên,Khai Quang,124.0,20.0,161290.32258064515
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,110.0,30.0,272727.2727272727
Vĩnh Phúc,Vĩnh Yên,Khai Quang,120.0,20.0,166666.66666666666
Vĩnh Phúc,Vĩnh Yên,Đồng Tâm,120.0,5.0,41666.66666666666
Vĩnh Phúc,Vĩnh Yên,Liên Bảo,100.0,25.0,250000.0
Cần Thơ,Ninh Kiều,Cái Khế,264.0,15.0,56818.181818181816
Cần Thơ,Ninh Kiều,An Khánh,260.0,19.0,73076.92307692308
Cần Thơ,Ninh Kiều,An Khánh,250.0,20.0,80000.0
Cần Thơ,Cái Răng,Hưng Thạnh,73.0,15.0,205479.45205479453
Cần Thơ,Ninh Kiều,An Hòa,50.0,9.0,180000.0
Cần Thơ,Ninh Kiều,An Khánh,120.0,12.0,100000.0
Cần Thơ,Ninh Kiều,Cái Khế,120.0,12.0,100000.0
Cần Thơ,Ninh Kiều,An Khánh,320.0,25.0,78125.0
Cần Thơ,Ninh Kiều,An Hòa,100.0,20.0,200000.0
Cần Thơ,Ninh Kiều,An Khánh,65.0,12.0,184615.38461538465
Cần Thơ,Cái Răng,Hưng Thạnh,245.0,20.0,81632.6530612245
Cần Thơ,Ninh Kiều,Hưng Lợi,68.0,8.0,117647.0588235294
Cần Thơ,Cái Răng,Thường Thạnh,130.0,5.0,38461.53846153846
Cần Thơ,Cái Răng,Hưng Phú,102.0,15.000000000000002,147058.82352941178
Cần Thơ,Ninh Kiều,Hưng Lợi,140.0,10.0,71428.57142857143
Cần Thơ,Cái Răng,Hưng Phú,100.0,18.0,180000.0
Hồ Chí Minh,Quận 1,Phạm Ngũ Lão,90.0,49.99999999999999,555555.5555555555
Hồ Chí Minh,Quận 1,Cô Giang,90.0,55.0,611111.1111111111
Hà Nội,Gia Lâm,Thị Trấn Trâu Quỳ,90.0,30.0,333333.3333333333
Hồ Chí Minh,Tân Phú,Tân Sơn Nhì,540.0,110.0,203703.7037037037
Hồ Chí Minh,Tân Phú,Tân Quý,750.0,80.0,106666.66666666669
Hồ Chí Minh,Tân Phú,Hiệp Tân,1.6,150.0,93750000.0
Hồ Chí Minh,Tân Phú,Phú Thọ Hòa,200.0,28.0,140000.0
Hồ Chí Minh,Tân Phú,Tây Thạnh,180.0,40.0,222222.22222222225
Hà Nội,Thanh Xuân,Hạ Đình,35.0,18.0,514285.7142857143
Hà Nội,Thanh Xuân,Kim Giang,80.0,10.0,125000.0
Đà Nẵng,Ngũ Hành Sơn,Khuê Mỹ,100.0,13.0,130000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,95.0,20.0,210526.31578947368
Đà Nẵng,Sơn Trà,An Hải Bắc,100.0,9.0,90000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,125.0,12.0,96000.0
Đà Nẵng,Sơn Trà,Phước Mỹ,165.0,11.999999999999998,72727.27272727272
Đà Nẵng,Hải Châu,Hòa Cường Nam,75.0,8.0,106666.66666666669
Đà Nẵng,Hải Châu,Thanh Bình,120.0,11.0,91666.66666666669
Đà Nẵng,Hải Châu,Hòa Cường Bắc,90.0,12.0,133333.33333333334
Đà Nẵng,Hải Châu,Hòa Cường Bắc,90.0,10.5,116666.66666666669
Đà Nẵng,Sơn Trà,An Hải Tây,110.0,25.0,227272.7272727273
Đà Nẵng,Ngũ Hành Sơn,Hòa Hải,100.0,6.5,65000.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,90.0,8.5,94444.44444444444
Hồ Chí Minh,Tân Phú,Tân Thới Hòa,1.06,169.99999999999997,160377358.49056602
Hồ Chí Minh,Gò Vấp,Phường 10,1.0,230.0,230000000.0
Hà Nội,Cầu Giấy,Trung Hòa,90.0,85.0,944444.4444444444
Hà Nội,Cầu Giấy,Trung Hòa,85.0,85.0,1000000.0
Hà Nội,Cầu Giấy,Nghĩa Tân,40.0,23.9,597500.0
Hà Nội,Cầu Giấy,Quan Hoa,35.0,6.9,197142.8571428572
Hà Nội,Cầu Giấy,Nghĩa Đô,55.0,16.9,307272.7272727273
Hà Nội,Cầu Giấy,Trung Hòa,38.0,23.9,628947.3684210526
Hà Nội,Thanh Xuân,Nhân Chính,55.0,20.0,363636.3636363637
Hà Nội,Hoàng Mai,Đại Kim,65.0,22.0,338461.53846153844
Đà Nẵng,Sơn Trà,An Hải Tây,106.0,15.0,141509.43396226416
Hồ Chí Minh,Gò Vấp,Phường 11,200.0,30.0,150000.0
Hồ Chí Minh,Quận 1,Đa Kao,150.0,55.0,366666.6666666667
Hồ Chí Minh,Tân Bình,Phường 8,300.0,32.0,106666.66666666669
Hồ Chí Minh,Phú Nhuận,Phường 2,450.0,79.0,175555.55555555556
Hồ Chí Minh,Quận 3,Phường 3,75.0,19.0,253333.3333333333
Hồ Chí Minh,Tân Bình,Phường 2,120.0,30.0,250000.0
Hồ Chí Minh,Tân Bình,Phường 14,70.0,30.0,428571.4285714286
Hồ Chí Minh,Phú Nhuận,Phường 2,300.0,50.0,166666.66666666666
Đà Nẵng,Hải Châu,Hòa Cường Bắc,54.0,10.0,185185.1851851852
Hồ Chí Minh,Quận 11,Phường 5,707.0,140.0,198019.801980198
Hồ Chí Minh,Quận 1,Đa Kao,400.0,170.0,425000.0
Hồ Chí Minh,Quận 1,Nguyễn Cư Trinh,207.0,120.0,579710.1449275363
Hồ Chí Minh,Phú Nhuận,Phường 2,300.0,48.0,160000.0
Hồ Chí Minh,Tân Bình,Phường 7,110.0,18.0,163636.36363636365
Hồ Chí Minh,Quận 11,Phường 1,220.0,35.0,159090.9090909091
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa A,312.0,100.0,320512.8205128205
Hồ Chí Minh,Tân Bình,Phường 10,150.0,25.0,166666.66666666666
Hồ Chí Minh,Quận 3,Phường 1,160.0,45.0,281250.0
Hồ Chí Minh,Quận 1,Nguyễn Cư Trinh,800.0,340.0,425000.0
Hồ Chí Minh,Quận 8,Phường 10,640.0,160.0,250000.0
Hồ Chí Minh,Quận 10,Phường 12,125.0,35.0,280000.0
Hồ Chí Minh,Quận 10,Phường 14,80.0,26.0,325000.0
Hồ Chí Minh,Tân Phú,Phú Trung,410.0,55.0,134146.34146341463
Hồ Chí Minh,Tân Phú,Tân Thới Hòa,180.0,20.0,111111.11111111112
Hồ Chí Minh,Quận 6,Phường 13,500.0,80.0,160000.0
Hồ Chí Minh,Bình Thạnh,Phường 25,300.0,80.0,266666.6666666667
Hồ Chí Minh,Quận 8,Phường 4,450.0,45.0,100000.0
Hồ Chí Minh,Tân Bình,Phường 2,1.0,210.0,210000000.0
Hồ Chí Minh,Quận 3,Phường 11,386.0,230.0,595854.9222797927
Hồ Chí Minh,Phú Nhuận,Phường 7,40.0,8.0,200000.0
Hồ Chí Minh,Tân Phú,Hòa Thạnh,150.0,45.0,300000.0
Hồ Chí Minh,Quận 3,Phường 3,80.0,19.0,237500.0
Hồ Chí Minh,Phú Nhuận,Phường 2,550.0,60.0,109090.90909090907
Hồ Chí Minh,Bình Thạnh,Phường 24,600.0,45.0,75000.0
Hồ Chí Minh,Bình Thạnh,Phường 14,900.0,100.0,111111.11111111112
Hồ Chí Minh,Phú Nhuận,Phường 13,450.0,45.0,100000.0
Hồ Chí Minh,Phú Nhuận,Phường 15,350.0,60.0,171428.57142857142
Hồ Chí Minh,Phú Nhuận,Phường 2,300.0,45.0,150000.0
Hồ Chí Minh,Bình Tân,Bình Hưng Hòa B,1.9,140.0,73684210.5263158
Hồ Chí Minh,Tân Phú,Tân Quý,800.0,120.0,150000.0
Hồ Chí Minh,Tân Bình,Phường 11,150.0,45.0,300000.0
Hồ Chí Minh,Tân Bình,Phường 14,45.0,18.0,400000.0
Hồ Chí Minh,Tân Bình,Phường 6,150.0,22.0,146666.66666666666
Hồ Chí Minh,Quận 10,Phường 12,305.0,50.0,163934.4262295082
Hồ Chí Minh,Tân Bình,Phường 11,110.0,30.0,272727.2727272727
Hồ Chí Minh,Phú Nhuận,Phường 2,220.0,40.0,181818.18181818185
Hồ Chí Minh,Quận 12,Đông Hưng Thuận,140.0,21.0,150000.0
Hồ Chí Minh,Tân Bình,Phường 11,200.0,25.0,125000.0
Hồ Chí Minh,Quận 3,Phường 11,380.0,95.0,250000.0
Hồ Chí Minh,Quận 1,Tân Định,170.0,40.0,235294.11764705885
Hồ Chí Minh,Quận 1,Tân Định,300.0,80.0,266666.6666666667
Hồ Chí Minh,Quận 3,Võ Thị Sáu,300.0,35.0,116666.66666666669
Hồ Chí Minh,Tân Bình,Phường 4,500.0,80.0,160000.0
Hồ Chí Minh,Tân Bình,Phường 4,140.0,22.0,157142.85714285713
Hồ Chí Minh,Tân Bình,Phường 12,325.0,28.0,86153.84615384616
Hồ Chí Minh,Quận 1,Phạm Ngũ Lão,150.0,55.0,366666.6666666667
Hồ Chí Minh,Tân Bình,Phường 10,130.0,14.0,107692.30769230767
Hồ Chí Minh,Tân Phú,Tân Quý,250.0,30.0,120000.0
Hồ Chí Minh,Quận 1,Tân Định,650.0,100.0,153846.15384615384
Hồ Chí Minh,Quận 1,Đa Kao,220.0,140.0,636363.6363636364
Hồ Chí Minh,Tân Bình,Phường 12,300.0,45.0,150000.0
Hồ Chí Minh,Quận 3,Võ Thị Sáu,200.0,70.0,350000.0
Hồ Chí Minh,Tân Bình,Phường 14,300.0,25.0,83333.33333333333
Hồ Chí Minh,Tân Bình,Phường 7,150.0,19.0,126666.66666666669
Hồ Chí Minh,Quận 10,Phường 12,300.0,50.0,166666.66666666666
Hồ Chí Minh,Phú Nhuận,Phường 13,595.0,330.00000000000006,554621.8487394959
Hồ Chí Minh,Quận 3,Võ Thị Sáu,500.0,300.0,600000.0
Hồ Chí Minh,Quận 10,Phường 2,250.0,100.0,400000.0
Hà Nội,Nam Từ Liêm,Phương Canh,300.0,405.0,1350000.0
Đà Nẵng,Sơn Trà,An Hải Bắc,900.0,80.0,88888.88888888889
Hồ Chí Minh,Tân Phú,Tân Thành,200.0,45.0,225000.0
Tiền Giang,Mỹ Tho,Đạo Thạnh,264.0,250.0,946969.696969697
Tiền Giang,Mỹ Tho,Phường 10,80.0,15.0,187500.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,64.0,12.0,187500.0
Hồ Chí Minh,Gò Vấp,Phường 7,100.0,30.0,300000.0
Hồ Chí Minh,Tân Bình,Phường 2,68.0,28.0,411764.70588235295
Hồ Chí Minh,Phú Nhuận,Phường 2,100.0,60.0,600000.0
Hồ Chí Minh,Gò Vấp,Phường 7,100.0,35.0,350000.0
Hồ Chí Minh,Bình Thạnh,Phường 12,80.0,30.0,375000.0
Đà Nẵng,Hải Châu,Hòa Cường Nam,85.0,15.0,176470.58823529413
Đà Nẵng,Hải Châu,Thuận Phước,80.0,70.0,875000.0
Đà Nẵng,Hải Châu,Hòa Cường Bắc,125.0,30.0,240000.0
Đà Nẵng,Hải Châu,Nam Dương,106.0,55.0,518867.92452830187
Hồ Chí Minh,Quận 7,Tân Quy,200.0,28.0,140000.0
Đà Nẵng,Cẩm Lệ,Khuê Trung,100.0,60.0,600000.0
Đà Nẵng,Cẩm Lệ,Hòa Xuân,100.0,15.0,150000.0
